template | expo            | react-native | react
53.0.0 | ~53.0.0-preview.0 | 0.79.0-rc.4 | 19.0.0
53.0.2 | ~53.0.0-preview.0 | 0.79.0-rc.4 | 19.0.0
53.0.3 | ~53.0.0-preview.1 | 0.79.0-rc.4 | 19.0.0
53.0.4 | ~53.0.0-preview.1 | 0.79.0 | 19.0.0
53.0.5 | ~53.0.0-preview.2 | 0.79.0 | 19.0.0
53.0.6 | ~53.0.0-preview.3 | 0.79.0 | 19.0.0
53.0.7 | ~53.0.0-preview.4 | 0.79.0 | 19.0.0
53.0.8 | ~53.0.0-preview.5 | 0.79.0 | 19.0.0
53.0.9 | ~53.0.0-preview.6 | 0.79.0 | 19.0.0
53.0.10 | ~53.0.0-preview.7 | 0.79.0 | 19.0.0
53.0.11 | ~53.0.0-preview.7 | 0.79.0 | 19.0.0
53.0.12 | ~53.0.0-preview.8 | 0.79.1 | 19.0.0
53.0.13 | ~53.0.0-preview.10 | 0.79.1 | 19.0.0
53.0.14 | ~53.0.0-preview.11 | 0.79.1 | 19.0.0
53.0.15 | ~53.0.0-preview.12 | 0.79.1 | 19.0.0
53.0.16 | ~53.0.0 | 0.79.1 | 19.0.0
53.0.17 | ~53.0.1 | 0.79.1 | 19.0.0
53.0.18 | ~53.0.2 | 0.79.1 | 19.0.0
53.0.19 | ~53.0.3 | 0.79.1 | 19.0.0
53.0.20 | ~53.0.4 | 0.79.1 | 19.0.0
53.0.21 | ~53.0.5 | 0.79.2 | 19.0.0
53.0.22 | ~53.0.5 | 0.79.2 | 19.0.0
53.0.23 | ~53.0.5 | 0.79.2 | 19.0.0
53.0.24 | ~53.0.6 | 0.79.2 | 19.0.0
53.0.25 | ~53.0.7 | 0.79.2 | 19.0.0
53.0.26 | ~53.0.8 | 0.79.2 | 19.0.0
53.0.27 | ~53.0.9 | 0.79.2 | 19.0.0
53.0.28 | ~53.0.9 | 0.79.2 | 19.0.0
53.0.29 | ~53.0.10 | 0.79.3 | 19.0.0
53.0.31 | ~53.0.11 | 0.79.3 | 19.0.0
53.0.32 | ~53.0.11 | 0.79.3 | 19.0.0
53.0.33 | ~53.0.12 | 0.79.4 | 19.0.0
53.0.34 | ~53.0.13 | 0.79.4 | 19.0.0
53.0.35 | ~53.0.15 | 0.79.4 | 19.0.0
53.0.36 | ~53.0.16 | 0.79.5 | 19.0.0
53.0.37 | ~53.0.17 | 0.79.5 | 19.0.0
53.0.38 | ~53.0.20 | 0.79.5 | 19.0.0
53.0.39 | ~53.0.22 | 0.79.6 | 19.0.0
53.0.40 | ~53.0.24 | 0.79.6 | 19.0.0
53.0.41 | ~53.0.26 | 0.79.6 | 19.0.0
53.0.42 | ~53.0.27 | 0.79.6 | 19.0.0
54.0.0 | ~54.0.0-preview.0 | 0.81.0 | 19.1.0
54.0.1 | ~54.0.0-preview.1 | 0.81.0 | 19.1.0
54.0.2 | ~54.0.0-preview.1 | 0.81.0 | 19.1.0
54.0.3 | ~54.0.0-preview.1 | 0.81.0 | ~19.1.0
54.0.4 | ~54.0.0-preview.1 | 0.81.0 | 19.1.0
54.0.5 | ~54.0.0-preview.2 | 0.81.0 | 19.1.0
54.0.6 | ~54.0.0-preview.3 | 0.81.0 | 19.1.0
54.0.7 | ~54.0.0-preview.4 | 0.81.0 | 19.1.0
54.0.8 | ~54.0.0-preview.6 | 0.81.0 | 19.1.0
